Data,and,for,so,but,with,if,as,or,because,when,then,next,also,still,once,before,after
"Δ (News, Discussion)",0.0003057930495232184,0.00039994809489039417,0.0001064725775852789,1.2474332717648303e-05,8.658525571862263e-05,0.0002302090491282761,2.517376101121853e-05,2.118736945521055e-06,0.00025013067465237264,0.0001309112723879123,1.9941112045265526e-06,6.416452288440845e-05,5.309446154861739e-05,2.265953142265546e-05,0.00010452961672473868,8.844865253133061e-05,0.0
"Δ (News, Science/Education)",0.00019468793787418438,5.347950619941479e-05,5.402188603516539e-06,9.45370153999579e-05,6.2080325131028385e-06,0.00011816906037848086,6.177663430975689e-05,9.039222055710764e-05,9.4606681867304e-05,6.618934369339847e-05,6.281668701775564e-05,8.784595252687375e-05,1.4680454283104151e-05,4.725574830641643e-06,0.00010452961672473868,0.0,0.00010996937250519793
"Δ (News, Documentary)",0.0001328051774339492,8.827926285653463e-05,0.00103899064500887,0.0001656562766927473,0.00015513467868950078,0.0003577996391919277,0.00034609125870012293,2.638406094473023e-05,0.00038763066202090595,9.972838040458391e-06,0.00010976695996738436,4.5455019368951285e-05,4.4794544573116356e-05,3.2334520266874794e-05,0.00010452961672473868,0.00012369915970220942,0.00024830787204928805
"Δ (News, Presentation)",0.000653921631928977,0.0004237238984373538,0.000317354807168565,0.00012102209318277826,4.518746525716041e-06,0.00018811525566067653,6.701922582983289e-05,8.069152947463702e-06,3.0295483176775778e-05,0.00011322687463427415,2.48200912717416e-05,0.00011903328852007815,1.0905903323410124e-05,2.5887917880655154e-05,0.00010452961672473868,8.950362598836016e-05,0.0
"Δ (Discussion, Science/Education)",0.0005004809873974028,0.00045342760108980896,0.00011187476618879544,0.0001070113481176062,9.279328823172547e-05,0.00011203998874979523,8.695039532097542e-05,8.827348361158658e-05,0.00034473735651967664,6.472192869451382e-05,6.481079822228219e-05,0.0001520104754112822,6.777491583172154e-05,2.7385106253297105e-05,0.0,8.844865253133061e-05,0.00010996937250519793
"Δ (Discussion, Documentary)",0.0004385982269571676,0.00031166883203385953,0.000932518067423591,0.0001781306094103956,0.0002417199344081234,0.0001275905900636516,0.00037126501971134146,2.4265323999209175e-05,0.0006377613366732786,0.0001408841104283707,0.00011176107117191091,0.00010961954225335974,8.299916975501034e-06,9.674988844219333e-06,0.0,3.525050717087881e-05,0.00024830787204928805
"Δ (Discussion, Presentation)",0.0009597146814521954,2.3775803546959625e-05,0.0002108822295832861,0.00013349642590042656,8.206650919290659e-05,4.209379346759956e-05,9.219298684105142e-05,1.0187889892984757e-05,0.00021983519147559686,1.7684397753638147e-05,2.681420247626815e-05,5.4868765635669695e-05,4.2188558225207266e-05,4.8547449303310616e-05,0.0,1.054973457029551e-06,0.0
"Δ (Science/Education, Documentary)",6.188276044023517e-05,0.00014175876905594942,0.0010443928336123865,7.11192612927894e-05,0.00014892664617639794,0.00023963057881344683,0.00028431462439036605,6.400815961237741e-05,0.00029302398015360195,7.616218173385687e-05,4.695027294962872e-05,4.239093315792247e-05,5.947499885622051e-05,3.706009509751644e-05,0.0,0.00012369915970220942,0.00013833849954409012
"Δ (Science/Education, Presentation)",0.00045923369405479267,0.0004772034046367686,0.00032275699577208154,2.648507778282036e-05,1.072677903881888e-05,6.994619528219567e-05,5.242591520076005e-06,9.846137350457134e-05,0.00012490216504407978,4.7037530940875674e-05,3.799659574601404e-05,0.0002068792410469519,2.5586357606514274e-05,2.116234305001351e-05,0.0,8.950362598836016e-05,0.00010996937250519793
"Δ (Documentary, Presentation)",0.0005211164544950278,0.00033544463558081916,0.0007216358378403049,4.463418350996904e-05,0.00015965342521521682,0.00016968438353125116,0.00027907203287029004,3.445321389219393e-05,0.00041792614519768173,0.00012319971267473254,8.494686869564276e-05,0.00016448830788902944,3.388864124970623e-05,5.822243814752995e-05,0.0,3.419553371384926e-05,0.00024830787204928805
