Data,and,so,for,but,with,as,or,if,because,then,when,also,still,next,before,after,while
"Δ (News, Discussion)",0.0017714805954726631,0.00012345646456838385,0.0008341792891541893,0.0007297096577038283,8.143937357507841e-05,0.0006004946280841459,0.0006871751804133947,0.000546406815217333,0.0012135142353905224,3.636063502907949e-05,0.0009518954759127351,0.0003185489078300209,0.00013422278170694302,0.0005444250871080139,9.438653473609635e-05,0.00045481228170057896,0.0
"Δ (News, Science/Education)",0.0009254317288516223,0.00040136788505156906,0.000526741840892294,0.0003616043788672715,7.816411636188056e-05,2.845073452553389e-05,1.916956533274533e-05,0.000459681312342653,8.498666435426431e-05,6.685038678175314e-05,0.00047122619251261624,0.00011288244706988255,8.274328391931441e-06,0.0005444250871080139,2.6451850131462983e-05,0.0007322184305936161,0.0
"Δ (News, Documentary)",0.0010572305355220982,0.0051410225742481,0.00039725870774135873,0.00010382602830162884,0.0008868450865316315,0.001308594172850412,0.0009874219240333165,0.0013920473888888966,0.00195993031358885,0.0007083856836032869,0.000215067476863749,0.0001348767771722785,0.00011720125991565133,0.0005444250871080139,0.0003439057765464784,0.0014347435012274034,0.0006564696214343358
"Δ (News, Presentation)",0.0042973571753724925,0.0017060677554221635,0.0007755112858398904,0.00049609159090636,7.146100162896529e-05,0.00014329200765420122,0.0006332330111468174,0.0004227198910078541,0.0001468148548815541,0.0002535830373446065,0.00044917780152776694,6.777642597325165e-05,0.0001906968898969399,0.0005444250871080139,9.377607759849691e-06,0.0004620715650618594,0.0
"Δ (Discussion, Science/Education)",0.0008460488666210408,0.0002779114204831852,0.0003074374482618953,0.0010913140365710998,0.00015960348993695897,0.000572043893558612,0.00070634474574614,8.672550287468e-05,0.0012985008997447867,3.0489751752673646e-05,0.0004806692834001189,0.00020566646076013834,0.00012594845331501158,0.0,6.793468460463336e-05,0.0002774061488930371,0.0
"Δ (Discussion, Documentary)",0.0028287111309947613,0.005017566109679716,0.001231437996895548,0.0008335356860054571,0.0009682844601067099,0.001909088800934558,0.0003002467436199218,0.0008456405736715635,0.0031734445489793725,0.0007447463186323664,0.0007368279990489861,0.0001836721306577424,1.702152179129169e-05,0.0,0.00024951924181038207,0.0009799312195268245,0.0006564696214343358
"Δ (Discussion, Presentation)",0.0025258765798998294,0.0015826112908537797,5.8668003314298924e-05,0.0012258012486101883,0.0001529003752040437,0.0004572026204299447,5.394216926657728e-05,0.00012368692420947893,0.0013603290902720765,0.000289943672373686,0.0005027176743849682,0.00025077248185676924,0.0003249196716038829,0.0,0.00010376414249594604,7.259283361280423e-06,0.0
"Δ (Science/Education, Documentary)",0.0019826622643737205,0.004739654689196531,0.0009240005486336527,0.00025777835056564266,0.000808680970169751,0.001337044907375946,0.0010065914893660618,0.0009323660765462435,0.0018749436492345858,0.00077523607038504,0.00025615871564886724,2.1994330102395945e-05,0.00010892693152371989,0.0,0.00031745392641501543,0.0007025250706337873,0.0006564696214343358
"Δ (Science/Education, Presentation)",0.00337192544652087,0.0013046998703705945,0.0002487694449475964,0.00013448721203908852,6.703114732915273e-06,0.00011484127312866733,0.0006524025764795627,3.696142133479893e-05,6.182819052728979e-05,0.00032043342412635964,2.2048390984849304e-05,4.5106021096630896e-05,0.00019897121828887134,0.0,3.5829457891312674e-05,0.0002701468655317567,0.0
"Δ (Documentary, Presentation)",0.005354587710894591,0.0034349548188259364,0.0011727699935812491,0.0003922655626047312,0.0008153840849026662,0.0014518861805046133,0.0003541889128864991,0.0009693274978810425,0.001813115458707296,0.0004548026462586804,0.00023411032466401794,6.710035119902684e-05,0.00030789814981259123,0.0,0.0003532833843063281,0.000972671936165544,0.0006564696214343358
