Data,and,so,for,but,with,if,as,or,because,then,when,also,next,still,before,after
"Δ (News, Discussion)",0.17062820309159532,0.04257516764454283,0.15342866077987705,0.10475743445270769,0.03800804582421369,0.09295551161079313,0.06437485383689856,0.07471635275021205,0.1750725754404842,0.010642092340188869,0.13875150102983635,0.04840012595587702,0.08536585365853659,0.02145824416322062,0.005064153005541416,0.06326406252109384
"Δ (News, Science/Education)",0.14548077642456203,0.07833685754784492,0.05409609519170888,0.04753180339384899,0.011522438035863058,0.07401590394119739,0.00930214707566196,0.017438424719570855,0.01859429666519513,0.0015579876995185926,0.0719480819329919,0.01901322185657736,0.010368107689153153,0.0008739533084804602,0.06816202090592334,0.09521571756040119
"Δ (News, Documentary)",0.08758153222051668,0.7465028592794924,0.03509728469252349,0.022852205631610167,0.08095267799742367,0.19842050997659177,0.20200555748127857,0.09977772744847913,0.2663327526132404,0.09522036215820344,0.03364762531361101,0.023808932769767366,0.0036187134311655433,0.0176530107970055,0.03745220037413709,0.18920968894891263
"Δ (News, Presentation)",0.5820185416070958,0.2683885724852083,0.14989224455353034,0.052622963583334736,0.00844048094992278,0.07555099377202057,0.00539422734666084,0.06476893610364681,0.007063305949397136,0.03131361777026692,0.08328917597576468,0.016754816493581445,0.08536585365853659,0.020645925317994626,0.006285665920474352,0.06425341605505856
"Δ (Discussion, Science/Education)",0.02514742666703329,0.035761689903302085,0.09933256558816816,0.15228923784655668,0.02648560778835063,0.018939607669595737,0.07367700091256052,0.0921547774697829,0.19366687210567934,0.009084104640670276,0.06680341909684445,0.029386904099299657,0.07499774596938344,0.02058429085474016,0.07322617391146476,0.031951655039307345
"Δ (Discussion, Documentary)",0.258209735312112,0.7039276916349496,0.18852594547240054,0.12760964008431785,0.11896072382163736,0.10546499836579865,0.26638041131817713,0.02506137469826708,0.4414053280537246,0.10586245449839231,0.10510387571622534,0.024591193186109653,0.08898456708970214,0.003805233366215119,0.03238804736859567,0.12594562642781879
"Δ (Discussion, Presentation)",0.41139033851550044,0.22581340484066548,0.003536416226346706,0.15738039803604242,0.029567564874290908,0.01740451783877256,0.0697690811835594,0.009947416646565233,0.18213588138988135,0.04195571011045579,0.05546232505407167,0.03164530946229557,0.0,0.042104169481215245,0.011349818926015769,0.000989353533964718
"Δ (Science/Education, Documentary)",0.2330623086450787,0.6681660017316475,0.08919337988423237,0.024679597762238825,0.09247511603328673,0.12440460603539438,0.19270341040561662,0.11721615216804998,0.24773845594804528,0.09677834985772203,0.03830045661938089,0.004795710913190004,0.013986821120318696,0.01677905748852504,0.10561422128006043,0.09399397138851144
"Δ (Science/Education, Presentation)",0.43653776518253373,0.1900517149373634,0.09579614936182146,0.005091160189485744,0.003081957085940279,0.0015350898308231775,0.003907919729001119,0.08220736082321767,0.011530990715797995,0.032871605469785514,0.011341094042772781,0.002258405362995916,0.07499774596938344,0.021519878626475086,0.06187635498544899,0.030962301505342626
"Δ (Documentary, Presentation)",0.6696000738276124,0.47811428679428414,0.18498952924605383,0.02977075795172457,0.08939315894734645,0.1228695162045712,0.19661133013461773,0.03500879134483231,0.2592694466638433,0.06390674438793652,0.04964155066215367,0.0070541162761859205,0.08898456708970214,0.038298936115000126,0.04373786629461144,0.12495627289385407
