Marker,Spotify,TED,NYTimes,Gigaword
for,46.68119476296719,30.57944851509681,63.95742829933092,66.19449593886159
so,24.002490530794375,34.8259058676389,8.917514231191385,6.883299235403908
if,13.756723568377177,15.774072894174838,10.087620267151499,9.376993397397676
because,8.278247634860513,12.611942940072918,6.063316322859271,5.075502455474406
since,1.9906951002265691,1.1728198411855628,4.522873019622904,6.52398795256738
given,1.2186305539701483,0.8046912793647423,1.5890787959301895,1.5389216326150337
whatever,1.2082533423269168,0.7563154106639293,0.516149944986082,0.3799814254032697
because of,0.47147131565748285,0.7043998442533008,1.4919954112858196,1.5643003830552993
now that,0.3894913436759543,0.4106049343386075,0.23548583299487033,0.1910018790647183
after all,0.35732198758193673,0.1699054900711479,0.2857025319534316,0.18257160475457423
so that,0.35317110292464415,1.0430309251589913,0.4339004191134605,0.3639176076884102
thus,0.2608139192998841,0.06725425648649605,0.4583622160310999,0.27192928245194437
therefore,0.24317265950639064,0.3362712824324803,0.21076273504195622,0.22214257305753238
as long as,0.2165378162887632,0.14276780762922847,0.2656426524761891,0.26642035479503884
in case,0.12210519033535688,0.09203214045520512,0.08136512236861483,0.11548291475173111
as a result,0.11345751396599733,0.11209042747749343,0.2352044318799591,0.17350251016890622
in this way,0.042546567737249,0.09439193892841552,0.021326184494342967,0.017617801868240662
in response to,0.045659731230218444,0.049555767937418144,0.159963133773936,0.22188058496700852
as a result of,0.07194866739307149,0.06489445801328567,0.17426099042204404,0.19615191892638573
