Marker,News,Discussion,Science/Education,Documentary,Presentation
but,,4.05,-9.64,-9.78,21.01
still,,13.61,-9.38,4.96,-23.78
though,,3.41,1.29,0.83,-55.53
while,,-10.37,122.37,26.53,-54.05
yet,,-36.74,21.76,18.23,21.05
by the way,,-50.32,-36.56,-81.94,928.78
even if,,-42.25,42.05,-20.05,2.46
however,,-57.86,307.74,145.71,-76.82
although,,-44.8,82.25,100.67,-54.05
even though,,84.32,-6.99,-31.54,11.75
instead of,,-21.27,89.91,-9.51,93.06
on the other hand,,-80.97,328.78,-26.55,56.29
whereas,,-60.47,117.5,-60.23,251.31
nevertheless,,-30.79,-37.08,92.62,-53.97
despite,,125.68,209.29,103.9,-65.39
regardless,,22.35,30.5,52.76,-42.2
as though,,-17.52,106.51,92.58,-25.1
