Marker,Spotify,TED,NYTimes,Gigaword
and,66.95190628378619,71.83085662447623,64.57998417749478,63.89465739161692
with,15.46026446791574,11.985398937319106,17.514162757740483,18.379205665902294
or,7.208265513431311,6.688193874465419,6.83672325711369,6.185546159078948
also,2.9670959616961112,2.7781977623223466,3.7367844973779776,4.9082345923846455
finally,1.0508619563022015,0.39472547410255304,0.3086776899142384,0.2580425827084004
without,0.9688840309377562,0.756512160352499,1.0486448635170087,1.0440625265222205
else,0.6158740153738312,0.6285368698431898,0.32824125332012605,0.2409695087999759
instead,0.537460347633927,0.33478767981338287,0.284936359097158,0.2508206447094813
in fact,0.46528413073696967,0.9379454836062033,0.25724445063746926,0.15915714784895127
further,0.37677173306086564,0.2068123893040736,0.3319494952095775,0.6413102278159808
as well,0.3093478596632965,0.3158883753077887,0.5618604923555691,0.6243978784755283
rather,0.23850823937554205,0.30346883234696964,0.24076057076128263,0.14524949452478958
particularly,0.21444950040988964,0.21977191239362392,0.34895338722274644,0.3036421339198917
anyway,0.18697501455405197,0.15983411810445375,0.07745656510274279,0.06236611056772142
essentially,0.16054010383870546,0.1927729059570608,0.0864154149772583,0.05800023391825176
for example,0.10915538975157124,0.28618946822756924,0.3238817340940657,0.17425601201980814
rather than,0.1289073174209032,0.14417469437124714,0.2954098074289035,0.2349672284739417
indeed,0.13054093549881784,0.19061298544213573,0.25545974878869987,0.12830229782225464
overall,0.06965153441290736,0.061017754546632684,0.13520063128463697,0.2871671545321064
unless,0.09712602026874502,0.09773640330035854,0.16835771584416398,0.20106145633839592
much as,0.12326390951537977,0.10745604561752127,0.17542079331637994,0.17693570304688125
