Marker,News,Discussion,Science/Education,Documentary,Presentation
and,,10.56,-6.38,-2.52,8.78
with,,-3.36,-0.62,24.75,-26.07
or,,-17.39,24.43,-26.22,-2.42
also,,-31.65,24.26,2.21,-8.63
indeed,,-96.72,91.17,81.19,58.61
anyway,,-42.03,-43.13,-41.51,22.06
in fact,,-67.76,197.11,-17.8,92.22
without,,-21.9,56.57,44.77,-30.43
rather,,-63.27,-13.19,24.25,29.2
else,,65.08,-32.17,-14.61,12.95
finally,,-34.7,43.03,196.6,-68.89
further,,-78.98,237.71,51.33,-52.36
as well,,-53.8,56.6,14.03,-3.99
specifically,,-62.85,96.07,-19.51,-42.1
overall,,-73.67,201.65,-71.93,18.08
much as,,1.59,-51.35,32.07,-7.42
essentially,,-29.78,90.57,-54.87,37.75
plus,,-10.48,285.86,-81.21,-30.78
in particular,,68.73,-29.49,-20.02,28.46
instead,,108.7,205.21,88.63,-48.29
particularly,,57.0,156.2,-25.95,-2.19
for example,,-56.34,301.7,-67.21,207.82
as if,,45.17,-26.62,108.01,-15.46
