Maybe;Sam Nation
Maybe;Ben Shapiro
Yes;McIntyre In the Morning
Maybe;Dr Drew Midday Live with Mike Catherwood
Yes;The Thom Hartmann Program
Maybe;Leslie Marshall
Yes;Crosscurrents from KALW News
Yes;The Daily
Maybe;In Deep with Angie Coiro
Yes;BBC World Service
Yes;Morning Edition (NPR)
Yes;PRI's The World
Yes;National Native News
Maybe;Big Picture Science
Yes;Here and Now (PRI)
Yes;Billings Morning News
Yes;America's Morning News (Washington Times)
Yes;KOGO's Evening News
Yes;PBS NewsHour
Yes;Jeff Caplan's Afternoon News
Yes;Utah's Morning News
Yes;Utah's Noon News
Yes;Arizona's Morning News
Yes;Mid-Morning News Hour (WBSM)
Yes;WBZ Midday News
Yes;WBZ Afternoon News
Yes;WPRO Morning News
Yes;WBRC Fox 6 News at 10
Yes;WFAW News
Yes;WORT Local News
Yes;Atlanta's Morning News
Yes;Wisconsin's Morning News
Yes;Wisconsin's Afternoon News
Maybe;Gary Sadlemyer and KFAB's Morning News
Yes;MORNING NEWS
Yes;Houston's Morning News
Yes;WBZ Morning News
Yes;Alabama's Morning News with JT
Yes;First Morning News
Yes;Columbia s Morning News
Yes;Nashville's Morning News
Yes;ABC News Perspective
Maybe;CBS News Weekend Roundup
Yes;Newshour Extra
Yes;KFAB Morning News, Weather & Markets
Yes;KOGO Weekend News Edition
Yes;WMT News Hour
Maybe;Saturday Morning News wDave Russell
Maybe;Weekly NH News Roundup
