Marker,Dialog,Monolog,Cooperative-Monolog,Speech
as,27.66,28.48,35.82,32.21
when,26.49,21.88,14.46,24.13
then,18.73,19.07,7.24,15.61
before,5.92,5.05,6.47,5.15
after,5.02,5.75,11.81,5.35
next,4.39,5.72,5.54,4.46
once,2.07,2.96,3.31,2.44
later,1.74,2.16,4.4,2.47
until,1.6,2.1,2.9,2.02
at the time,0.89,0.74,1.2,0.71
earlier,0.79,0.77,0.77,0.62
eventually,0.66,1.45,1.72,0.86
at the same time,0.61,0.33,0.21,0.77
at that point,0.53,0.27,0.08,0.19
ultimately,0.44,0.71,0.6,0.5
whenever,0.41,0.7,0.25,0.36
upon,0.35,0.41,0.93,0.64
meanwhile,0.11,0.23,0.56,0.12
