Marker,Dialog,Monolog,Cooperative-Monolog,Speech
so,39.1,41.67,14.62,34.83
for,25.97,27.71,58.52,30.58
because,17.17,11.08,4.24,12.61
if,12.87,14.56,13.95,15.77
whatever,1.77,1.24,0.98,0.76
since,0.95,0.98,2.6,1.17
given,0.59,0.52,1.6,0.8
now that,0.38,0.34,0.4,0.41
so that,0.33,0.49,0.33,1.04
because of,0.29,0.5,0.54,0.7
as long as,0.14,0.1,0.27,0.14
therefore,0.12,0.24,0.29,0.34
in case,0.07,0.06,0.15,0.09
after all,0.06,0.13,0.52,0.17
thus,0.03,0.08,0.39,0.07
as a result,0.02,0.04,0.16,0.11
in this way,0.02,0.03,0.06,0.09
