Marker,Dialog,Monolog,Cooperative-Monolog,Speech
but,74.72,69.23,60.03,73.43
still,9.48,9.51,9.75,7.38
though,3.6,3.78,4.05,1.77
while,3.24,5.76,9.17,4.1
yet,2.34,2.65,3.12,3.76
even though,1.64,1.47,1.12,1.25
by the way,1.07,1.13,0.05,1.13
even if,0.85,1.31,0.97,0.98
although,0.71,0.97,2.04,0.93
however,0.56,1.6,4.55,1.03
instead of,0.44,0.72,0.77,1.44
despite,0.38,0.58,2.6,0.86
whereas,0.27,0.27,0.09,0.39
regardless,0.21,0.17,0.44,0.25
nevertheless,0.15,0.09,0.25,0.11
on the other hand,0.11,0.38,0.28,0.42
as though,0.07,0.13,0.25,0.18
