Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-1.2038104647860783,-10.987542393215861,9.813969611283997e-24,yes,yes
"News, Science/Education",-0.1030200167878711,-0.8344304161844602,0.40546904189875344,no,no
"News, Documentary",-0.3222089957768344,-2.825286045307685,0.00568889067937359,no,yes
"News, Presentation",1.2453927165883607,9.11349537973842,1.0974292593059952e-14,yes,yes
"Discussion, Science/Education",1.192959225161509,12.795829751684323,4.916846061186632e-30,yes,yes
"Discussion, Documentary",1.047208985319576,11.96799361437848,6.01510517452977e-26,yes,yes
"Discussion, Presentation",2.116483821200519,22.56060360676443,3.066456557240949e-59,yes,yes
"Science/Education, Documentary",-0.24789594117045494,-3.964616828132969,8.816159323532047e-05,yes,yes
"Science/Education, Presentation",1.666887503684367,21.53233905487719,3.0842188055605044e-63,yes,yes
"Documentary, Presentation",2.0036238674252984,65.57798389888686,0.0,yes,yes
