Marker,News,Discussion,Science/Education,Documentary,Presentation
as,32.28,25.85,29.62,35.74,32.21
then,18.52,18.71,16.7,7.57,15.61
when,17.48,28.15,21.11,14.72,24.13
next,7.22,4.41,5.68,5.45,4.46
before,5.77,5.97,5.11,6.47,5.15
after,4.83,5.16,7.22,11.59,5.35
once,3.83,2.1,2.67,3.27,2.44
eventually,1.88,0.62,1.14,1.7,0.86
until,1.55,1.63,2.18,2.87,2.02
later,1.25,1.67,2.77,4.33,2.47
earlier,1.11,0.62,0.86,0.77,0.62
whenever,0.98,0.42,0.51,0.25,0.36
till,0.46,0.41,0.08,0.08,0.16
at the same time,0.35,0.65,0.32,0.22,0.77
upon,0.33,0.27,0.44,0.93,0.64
at the time,0.29,1.01,0.92,1.18,0.71
at that point,0.33,0.64,0.19,0.09,0.19
after that,0.28,0.47,0.32,0.24,0.29
ultimately,0.22,0.38,0.86,0.6,0.5
meanwhile,0.26,0.13,0.43,0.53,0.12
