Marker,News,Discussion,Science/Education,Documentary,Presentation
but,71.53,74.43,67.26,60.68,73.43
still,8.95,10.17,9.22,9.68,7.38
though,3.76,3.89,3.94,3.97,1.77
while,3.54,3.17,7.05,8.92,4.1
yet,3.41,2.16,2.63,3.11,3.76
by the way,1.93,0.96,0.61,0.11,1.13
even if,1.45,0.84,1.19,0.95,0.98
however,1.05,0.44,1.81,4.45,1.03
although,1.0,0.55,1.01,2.03,0.93
even though,0.95,1.76,1.63,1.12,1.25
instead of,0.55,0.43,0.82,0.75,1.44
on the other hand,0.45,0.09,0.37,0.27,0.42
whereas,0.33,0.13,0.28,0.11,0.39
nevertheless,0.28,0.19,0.12,0.23,0.11
despite,0.18,0.4,1.23,2.5,0.86
regardless,0.18,0.21,0.28,0.43,0.25
as though,0.08,0.06,0.13,0.25,0.18
