,News → Discussion,News → Science/Education,News → Documentary,News → Presentation,Discussion → Science/Education,Discussion → Documentary,Discussion → Presentation,Science/Education → Documentary,Science/Education → Presentation,Documentary → Presentation
but,4.05,-5.98,-15.17,2.65,-9.64,-18.47,-1.35,-9.78,9.18,21.01
still,13.61,2.96,8.07,-17.63,-9.38,-4.88,-27.5,4.96,-20.0,-23.78
though,3.41,4.74,5.61,-53.03,1.29,2.13,-54.58,0.83,-55.16,-55.53
while,-10.37,99.31,152.19,15.88,122.37,181.37,29.29,26.53,-41.86,-54.05
yet,-36.74,-22.98,-8.94,10.23,21.76,43.95,74.25,18.23,43.12,21.05
by the way,-50.32,-68.48,-94.31,-41.43,-36.56,-88.54,17.88,-81.94,85.81,928.78
even if,-42.25,-17.96,-34.41,-32.8,42.05,13.56,16.35,-20.05,-18.09,2.46
however,-57.86,71.84,322.22,-2.14,307.74,901.85,132.19,145.71,-43.05,-76.82
although,-44.8,0.59,101.86,-7.25,82.25,265.71,68.05,100.67,-7.79,-54.05
even though,84.32,71.44,17.37,31.17,-6.99,-36.32,-28.84,-31.54,-23.49,11.75
instead of,-21.27,49.51,35.3,161.2,89.91,71.85,231.78,-9.51,74.7,93.06
on the other hand,-80.97,-18.39,-40.05,-6.31,328.78,214.96,392.26,-26.55,14.8,56.29
whereas,-60.47,-14.02,-65.81,20.12,117.5,-13.51,203.86,-60.23,39.71,251.31
nevertheless,-30.79,-56.45,-16.12,-61.39,-37.08,21.2,-44.21,92.62,-11.33,-53.97
despite,125.68,597.99,1323.22,392.55,209.29,530.65,118.26,103.9,-29.43,-65.39
regardless,22.35,59.67,143.92,40.98,30.5,99.35,15.23,52.76,-11.7,-42.2
as though,-17.52,70.32,228.0,145.68,106.51,297.69,197.88,92.58,44.25,-25.1
