Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",0.5478953903820594,3.886396646249823,0.00018125916827101455,yes,yes
"News, Science/Education",0.14850620633554434,1.3428066676203758,0.18083282994840444,no,no
"News, Documentary",0.09001601589624131,0.8311921494981191,0.4077845861402076,no,no
"News, Presentation",0.4461330098031561,3.366284021858218,0.0010903477081717961,yes,yes
"Discussion, Science/Education",-0.2578383662642441,-3.0940885352777614,0.002145744944244869,yes,yes
"Discussion, Documentary",-0.4712417608841589,-11.959804425628704,9.12593095966251e-31,yes,yes
"Discussion, Presentation",-0.16074789220742472,-2.8380945559780426,0.004792221795480064,yes,yes
"Science/Education, Documentary",-0.07518612507831689,-1.0850898291046982,0.2786655856073202,no,no
"Science/Education, Presentation",0.18784841585550066,2.37971794731233,0.017948274018624557,no,no
"Documentary, Presentation",0.3627453126854923,11.853267482780844,9.633138998614657e-32,yes,yes
