Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",0.10351754460405095,0.8591823769503389,0.39130073892355566,no,no
"News, Science/Education",-0.11569697771271534,-1.1689702819194625,0.2432929368380396,no,no
"News, Documentary",-0.1120277307893765,-1.5468218055526315,0.1243609737484494,no,no
"News, Presentation",-0.11770548464101027,-1.770027941146935,0.07881906045745049,no,no
"Discussion, Science/Education",-0.18307036958514367,-2.1317837716847587,0.03354042181385117,no,no
"Discussion, Documentary",-0.18027946520719462,-3.3568106977945718,0.0008685566295342535,yes,yes
"Discussion, Presentation",-0.17873081977277352,-3.5342988283879655,0.00045014536239866516,yes,yes
"Science/Education, Documentary",0.0041011034030218425,0.06538991637772262,0.947898795455089,no,no
"Science/Education, Presentation",-0.011032308436356665,-0.18497424819628547,0.8533406874165396,no,no
"Documentary, Presentation",-0.014938092845218508,-0.4794349163998298,0.6316558779388299,no,no
