Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-0.1516154287519493,-1.248514915171745,0.2134047392619868,no,no
"News, Science/Education",0.1464457515334584,1.2502036634576135,0.21299908791069827,no,no
"News, Documentary",0.21695219392118853,2.160184339698474,0.03300949760153218,no,no
"News, Presentation",-0.09201470872020075,-1.098541589167834,0.2741974349749309,no,no
"Discussion, Science/Education",0.29654901090447033,3.3177970211414447,0.0009780904699553986,yes,yes
"Discussion, Documentary",0.36141215338991556,5.217288933290728,3.617324361235772e-07,yes,yes
"Discussion, Presentation",0.027625811931834467,0.46370930247077313,0.6431566042519334,no,no
"Science/Education, Documentary",0.07547817125475939,1.243412667857513,0.2144700966629435,no,no
"Science/Education, Presentation",-0.20663212146564058,-3.903297636078056,0.00010767666100747268,yes,yes
"Documentary, Presentation",-0.26212767701013945,-8.378116419926872,7.65001011722609e-17,yes,yes
