Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-0.08542641079070798,-0.6773451710432041,0.49918348886927266,no,no
"News, Science/Education",0.20208468730496648,1.661865132139006,0.09868968001246221,no,no
"News, Documentary",0.1314281654517957,1.1248139635078778,0.2633406710574517,no,no
"News, Presentation",0.08014372628092123,0.8373228710211976,0.40423279423713687,no,no
"Discussion, Science/Education",0.3159084213611947,3.546148300710679,0.0004293332704847027,yes,yes
"Discussion, Documentary",0.2467191778654456,3.332292227305984,0.0009888636198202901,yes,yes
"Discussion, Presentation",0.16256403609161663,2.682027557496984,0.007689239450292188,no,yes
"Science/Education, Documentary",-0.09069966603847561,-1.3801602239363129,0.1684140109701118,no,no
"Science/Education, Presentation",-0.0969759604528716,-1.7664843886376853,0.07796021615375105,no,no
"Documentary, Presentation",-0.0280380534084518,-0.8938833437340648,0.37145020521771055,no,no
