Data,Effectsize,T-Statistic,P-Value,0.05 significant,0.1 significant
"News, Discussion",-1.2283589476459689,-11.245737941402425,1.1895776228193014e-24,yes,yes
"News, Science/Education",-0.11081610258881176,-0.9021514369063227,0.3685120678456645,no,no
"News, Documentary",-0.330896997673387,-2.9172490041061416,0.004346834938158205,yes,yes
"News, Presentation",1.245104828477184,9.119938529353462,1.0610709965699921e-14,yes,yes
"Discussion, Science/Education",1.2071819824156445,12.951604659235388,1.3050644589233607e-30,yes,yes
"Discussion, Documentary",1.064516202580934,12.162263879378918,1.425830767536226e-26,yes,yes
"Discussion, Presentation",2.1270783458421136,22.66856933110586,1.4757138325752578e-59,yes,yes
"Science/Education, Documentary",-0.24513602912858373,-3.907997015654294,0.00011062578317772759,yes,yes
"Science/Education, Presentation",1.6454067517357196,21.220274235373253,4.791434284432448e-62,yes,yes
"Documentary, Presentation",1.9920168237854936,65.20202406174779,0.0,yes,yes
