Data,< 0.05,P-Value,Effectsize,Statistic
"Oral-Acoustic, Literate-Written",yes,< 0.001,0.112,DB
"Oral-Acoustic, Literate-Written",yes,< 0.001,-0.137,DM
"Oral-Acoustic, Literate-Written",yes,< 0.001,0.058,DE
"News, Discussion",no,0.213,-0.152,DB
"News, Science/Education",no,0.213,0.146,DB
"News, Documentary",no,0.033,0.217,DB
"News, Presentation",no,0.274,-0.092,DB
"Discussion, Science/Education",yes,< 0.001,0.297,DB
"Discussion, Documentary",yes,< 0.001,0.361,DB
"Discussion, Presentation",no,0.643,0.0279,DB
"Science/Education, Documentary",no,0.214,0.075,DB
"Science/Education, Presentation",yes,< 0.001,-0.207,DB
"Documentary, Presentation",yes,< 0.001,-0.262,DB
"News, Discussion",no,0.499,-0.085,DM
"News, Science/Education",no,0.099,0.202,DM
"News, Documentary",no,0.263,0.131,DM
"News, Presentation",no,0.404,0.08,DM
"Discussion, Science/Education",yes,< 0.001,0.316,DM
"Discussion, Documentary",yes,< 0.001,0.247,DM
"Discussion, Presentation",yes,0.008,0.163,DM
"Science/Education, Documentary",no,0.168,-0.091,DM
"Science/Education, Presentation",no,0.078,-0.096,DM
"Documentary, Presentation",no,0.371,-0.027,DM
"News, Discussion",no,0.085,0.23,DE
"News, Science/Education",yes,0.007,-0.34,DE
"News, Documentary",yes,0.008,-0.33,DE
"News, Presentation",no,0.859,-0.018,DE
"Discussion, Science/Education",yes,< 0.001,-0.712,DE
"Discussion, Documentary",yes,< 0.001,-0.753,DE
"Discussion, Presentation",yes,< 0.001,-0.251,DE
"Science/Education, Documentary",no,0.563,0.039,DE
"Science/Education, Presentation",yes,< 0.001,0.317,DE
"Documentary, Presentation",yes,< 0.001,0.306,DE
"Dialog, Monolog",yes,0.006,0.218,DB
"Dialog, Cooperative Monolog",yes,< 0.001,0.344,DB
"Dialog, Speech",no,0.96,-0.003,DB
"Monolog, Cooperative Monolog",no,0.069,0.111,DB
"Monolog, Speech",yes,0.001,-0.174,DB
"Cooperative Monolog, Speech",yes,< 0.001,-0.27,DB
"Dialog, Monolog",yes,< 0.001,0.303,DM
"Dialog, Cooperative Monolog",yes,0.003,0.192,DM
"Dialog, Speech",yes,0.016,0.129,DM
"Monolog, Cooperative Monolog",no,0.03,-0.142,DM
"Monolog, Speech",no,0.017,-0.13,DM
"Cooperative Monolog, Speech",no,0.501,-0.021,DM
"Dialog, Monolog",yes,< 0.001,-0.562,DE
"Dialog, Cooperative Monolog",yes,< 0.001,-0.584,DE
"Dialog, Speech",yes,0.002,-0.165,DE
"Monolog, Cooperative Monolog",no,0.332,0.064,DE
"Monolog, Speech",yes,< 0.001,0.327,DE
"Cooperative Monolog, Speech",yes,< 0.001,0.306,DE
